 field_num | photometry_type | project_id | comments | duplicate |                                     path                                      
-----------+-----------------+------------+----------+-----------+-------------------------------------------------------------------------------
 235       | AP              |          0 |          | f         | /nfs/phn9/ar0/4KAP_LC/235
 237       | AP              |          0 |          | f         | /nfs/phn10/ar0/4KRED/AP/4KAP_LC/237
 257       | AP              |          0 |          | f         | /nfs/phn15/ar1/H/4KRED/4KAP_LC/257
 285       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/285_2
 416       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/416
 139       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/apal/red4k/fields/139/ism/epdlc/
 163       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/apal/red4k/fields/163/ism/epdlc/
 164       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/apal/red4k/fields/164/ism/epdlc/
 179       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/apal/red4k/fields/179/ism/epdlc/
 210       | AP              |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/4KRED/AP/4KAP_LC/210
 209       | AP              |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/4KRED/AP/4KAP_LC/209
 215       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/apal/red4k/fields/215/ism/epdlc/
 216       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/apal/red4k/fields/216/ism/epdlc/
 062       | AP              |          4 | 10_T     | f         | /nfs/phn15/ar1/H/4KRED/4KAP_LC/062_PR4_10_T
 062       | AP              |          5 | D20      | f         | /nfs/phn15/ar1/H/4KRED/4KAP_LC/062_PR5_D20
 086       | AP              |          0 |          | f         | /nfs/phn9/ar0/4KAP_LC/086
 086       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/apal/red4k/fields/086/ism/epdlc/
 086       | AP              |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/4KRED/AP/4KAP_LC/086
 087       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/apal/red4k/fields/087/ism/epdlc/
 094       | ISM             |          0 |          | f         | /nfs/phn1/ar0/phn5_save/ar0/H/apal/red4k/fields/094/ism/epdlc/
 087       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/087
 088       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/088
 088       | AP              |          0 | .2       | f         | /nfs/phn10/edrive1/4KAP_LC/088.2
