     hat_id      | ndet  |                           full_lc_fpath
-----------------+-------+-------------------------------------------------------------------
 HAT-036-0000254 |  6637 | 036/HAT-036-0000254-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-036-0003143 |  6637 | 036/HAT-036-0003143-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-037-0000280 |  5551 | 037/HAT-037-0000280-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-037-0000373 |    16 | 037/HAT-037-0000373-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-037-0000415 |  5550 | 037/HAT-037-0000415-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-037-0004422 |  5548 | 037/HAT-037-0004422-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-037-0004667 |     7 | 037/HAT-037-0004667-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-037-0005318 |     5 | 037/HAT-037-0005318-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-038-0000002 |  5551 | 038/HAT-038-0000002-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-038-0001511 |  5550 | 038/HAT-038-0001511-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-038-0011131 |  5551 | 038/HAT-038-0011131-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-051-0000820 |  4472 | 051/HAT-051-0000820-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-052-0000310 | 11009 | 052/HAT-052-0000310-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-053-0000794 | 11009 | 053/HAT-053-0000794-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-056-0000004 | 11347 | 056/HAT-056-0000004-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-056-0000011 | 11354 | 056/HAT-056-0000011-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-056-0000025 | 11346 | 056/HAT-056-0000025-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-056-0000037 | 11349 | 056/HAT-056-0000037-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-056-0000215 | 11340 | 056/HAT-056-0000215-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-056-0000234 | 15295 | 056/HAT-056-0000234-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-056-0000342 | 15307 | 056/HAT-056-0000342-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-056-0000466 | 11352 | 056/HAT-056-0000466-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-056-0000587 | 11321 | 056/HAT-056-0000587-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-056-0000659 | 11345 | 056/HAT-056-0000659-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-056-0001957 | 14699 | 056/HAT-056-0001957-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-056-0002405 | 15283 | 056/HAT-056-0002405-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-056-0002452 | 11347 | 056/HAT-056-0002452-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-056-0003116 | 11282 | 056/HAT-056-0003116-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-056-0003191 | 11068 | 056/HAT-056-0003191-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
